,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
57,Bolshaya Glushitsa,92,RU,1551764062,94,50.24,43.59,34.0,1.01
58,Pedernales,80,EC,1551764975,93,0.07,-80.05,72.91,1.95
59,Saint Anthony,1,US,1551761760,78,43.97,-111.68,21.2,5.82
60,Georgetown,20,GY,1551762000,94,6.8,-58.16,75.2,4.7
61,Longyearbyen,40,NO,1551761400,64,78.22,15.63,-4.01,9.17
62,Nha Trang,0,VN,1551763800,41,12.24,109.19,93.2,12.75
63,Carnarvon,0,ZA,1551764976,62,-30.97,22.13,62.24,10.22
64,Riyadh,0,SA,1551762000,28,24.63,46.72,59.0,9.17
65,Hithadhoo,48,MV,1551764901,100,-0.6,73.08,83.26,5.97
66,Tuatapere,0,NZ,1551764406,80,-46.13,167.69,69.01,7.0
67,Manzhouli,8,CN,1551764707,27,49.6,117.43,32.09,14.03
68,Castro,75,CL,1551762000,93,-42.48,-73.76,50.0,6.93
69,Takapau,0,NZ,1551764957,65,-40.02,176.35,70.0,1.01
70,Goderich,32,CA,1551764935,80,43.74,-81.71,10.0,13.0
71,Upernavik,68,GL,1551764803,100,72.79,-56.15,10.94,5.75
72,Cidreira,0,BR,1551764979,84,-30.17,-50.22,74.84,8.99
73,Port Alfred,80,ZA,1551764762,94,-33.59,26.89,66.0,2.51
74,Tuktoyaktuk,5,CA,1551762000,85,69.44,-133.03,12.2,16.11
75,Norman Wells,20,CA,1551762000,85,65.28,-126.83,15.8,6.93
76,Quang Ngai,0,VN,1551764980,45,15.12,108.8,90.23,4.41
77,Chuy,80,UY,1551764980,99,-33.69,-53.46,69.31,10.45
78,Abu Zabad,0,SD,1551764980,23,12.35,29.25,71.74,12.68
79,Hermanus,48,ZA,1551764785,87,-34.42,19.24,61.0,1.99
80,Cuautitlan Izcalli,75,MX,1551761400,42,19.65,-99.25,64.4,2.62
81,Avarua,76,CK,1551763800,61,-21.21,-159.78,78.8,3.36
82,Khatanga,32,RU,1551764982,78,71.98,102.47,1.81,5.19
83,Broadford,20,IE,1551762000,81,52.35,-8.97,44.6,14.99
84,Hilo,90,US,1551764972,68,19.71,-155.08,68.0,10.29
85,Jamestown,0,AU,1551764983,91,-33.21,138.6,72.46,10.22
86,Port Elizabeth,1,US,1551764007,50,39.31,-74.98,30.0,5.82
87,Vardo,1,US,1551764938,50,39.62,-77.74,28.4,4.7
88,Provideniya,90,RU,1551762000,86,64.42,-173.23,28.4,8.95
89,Verkhnevilyuysk,92,RU,1551764984,75,63.45,120.31,18.14,8.99
90,Elizabeth City,1,US,1551764951,100,36.3,-76.22,39.99,4.97
91,Mar del Plata,0,AR,1551764984,60,-46.43,-67.52,53.15,18.05
92,Rosario,88,UY,1551764779,94,-34.31,-57.35,60.01,3.85
93,Nchelenge,12,ZM,1551764985,80,-9.35,28.74,72.05,3.96
94,Lagoa,75,PT,1551764827,93,37.14,-8.45,59.0,6.93
95,Bonavista,100,CA,1551764772,88,48.65,-53.11,28.99,15.01
96,Hamilton,75,CA,1551764763,78,43.26,-79.87,14.0,11.41
97,Dunedin,48,NZ,1551764429,44,-45.87,170.5,75.99,4.0
98,Angoche,92,MZ,1551764987,100,-16.23,39.91,77.18,14.7
99,Pevek,68,RU,1551764987,78,69.7,170.27,6.49,4.18
100,Adeje,56,NG,1551764987,93,5.68,5.76,74.03,3.06
101,Zhezkazgan,75,KZ,1551763800,100,47.8,67.71,10.4,4.47
102,Napier,0,NZ,1551764408,68,-39.49,176.92,70.0,4.0
103,Tumpat,75,MY,1551762000,62,6.2,102.17,87.8,10.29
104,Hasaki,20,JP,1551764974,50,35.73,140.83,61.0,5.82
105,Albany,20,US,1551764800,44,42.65,-73.75,19.0,14.99
106,Kushnarenkovo,76,RU,1551764989,86,55.11,55.34,21.02,4.29
107,Ponta do Sol,88,BR,1551764989,90,-20.63,-46.0,64.09,1.16
108,Kavaratti,0,IN,1551764836,100,10.57,72.64,81.64,9.55
109,Kapaa,90,US,1551764913,60,22.08,-159.32,71.6,17.22
110,Gao,0,ML,1551764990,54,16.28,-0.04,54.91,6.53
111,Wajima,40,JP,1551762000,73,37.4,136.9,50.0,4.7
112,Shiyan,76,CN,1551764692,59,32.65,110.78,51.01,5.01
113,Chokurdakh,32,RU,1551764848,68,70.62,147.9,-15.34,3.18
114,Nemuro,40,JP,1551762000,43,43.32,145.57,35.6,3.36
115,Shubarshi,88,KZ,1551764992,92,48.59,57.19,30.2,14.7
116,San Cristobal,75,EC,1551764721,93,-0.39,-78.55,57.2,4.7
117,Husavik,48,CA,1551764405,79,50.56,-96.99,6.01,8.01
118,Krasnyy Chikoy,0,RU,1551764992,33,50.36,108.75,32.23,3.18
119,Humaita,75,AR,1551762000,88,-24.93,-65.37,68.0,2.73
120,Aklavik,20,CA,1551762000,85,68.22,-135.01,17.6,11.41
121,Mananjary,20,MG,1551764993,97,-19.16,46.8,70.88,3.85
122,Rocha,92,UY,1551764743,95,-34.48,-54.34,67.06,9.44
123,Taguatinga,75,BR,1551762000,94,-15.83,-48.06,68.0,3.36
124,Boende,24,CD,1551764994,95,-0.28,20.88,73.31,3.06
125,Tasiilaq,0,GL,1551761400,72,65.61,-37.64,14.0,4.7
126,Shaoguan,92,CN,1551764995,97,24.81,113.59,66.61,8.77
127,Tura,80,IN,1551764883,83,25.52,90.21,69.49,2.06
128,Goundam,0,ML,1551764995,63,16.42,-3.66,52.66,3.74
129,Celestun,0,MX,1551764996,98,20.87,-90.4,78.62,16.93
130,Nyimba,8,ZM,1551764996,69,-14.56,30.81,78.44,3.85
131,Faya,0,SA,1551762000,39,18.39,42.45,64.4,16.11
132,Manuk Mangkaw,0,PH,1551764996,96,4.8,119.85,85.06,2.95
133,Ust-Nera,12,RU,1551764997,60,64.57,143.24,-15.61,2.17
134,Mahajanga,20,MG,1551762000,83,-15.72,46.32,80.6,2.24
135,Timmins,75,CA,1551762000,77,48.48,-81.33,-2.21,4.7
136,Cap-aux-Meules,64,CA,1551764997,97,47.38,-61.86,26.69,28.34
137,Mareeba,92,AU,1551764640,62,-16.99,145.42,87.8,13.87
138,Suntar,44,RU,1551764998,63,62.16,117.65,22.06,8.43
139,Thinadhoo,76,MV,1551764998,100,0.53,72.93,83.26,5.3
140,East London,75,ZA,1551762960,100,-33.02,27.91,66.2,9.17
141,Haines Junction,20,CA,1551764999,60,60.75,-137.51,-9.4,2.62
142,Cauquenes,0,CL,1551764999,91,-35.97,-72.32,49.51,7.76
143,Dinar,75,TR,1551763200,93,38.07,30.16,37.4,4.7
144,Mahebourg,40,MU,1551764645,70,-20.41,57.7,84.99,8.05
145,LUGOBA,0,TZ,1551765000,85,-6.46,38.33,79.48,3.29
146,Coquimbo,0,CL,1551762000,82,-29.95,-71.34,59.0,6.31
147,Sao Jose da Coroa Grande,76,BR,1551765001,97,-8.9,-35.15,77.09,3.62
148,Mehamn,40,NO,1551761400,78,71.03,27.85,17.6,11.41
149,Luzhou,92,CN,1551765002,93,28.89,105.45,53.96,4.63
150,Pilar,0,AR,1551764938,93,-34.46,-58.91,69.8,3.06
151,Fort Nelson,5,CA,1551762000,84,58.81,-122.69,5.0,2.24
152,Waddan,0,LY,1551765006,74,29.16,16.14,32.9,2.73
153,Saint-Philippe,90,CA,1551765004,52,45.36,-73.48,17.6,5.82
154,Richards Bay,76,ZA,1551765007,92,-28.77,32.06,72.73,13.35
155,Margate,75,AU,1551764954,56,-43.03,147.26,72.0,11.41
156,Bluff,76,AU,1551764801,57,-23.58,149.07,83.53,13.24
157,San Carlos de Bariloche,40,AR,1551762000,70,-41.13,-71.31,46.4,23.04
158,Mount Gambier,75,AU,1551762000,60,-37.83,140.78,71.6,19.46
159,Lewisporte,90,CA,1551764728,100,49.25,-55.06,24.8,23.04
160,Severo-Kurilsk,64,RU,1551764880,100,50.68,156.12,22.64,6.98
161,Ampanihy,80,MG,1551765008,97,-24.69,44.75,76.96,6.76
162,Grand Gaube,40,MU,1551764945,70,-20.01,57.66,84.99,8.05
163,Thompson,20,CA,1551762000,83,55.74,-97.86,-9.41,3.36
164,Adrar,0,DZ,1551762000,25,27.87,-0.29,51.8,11.41
165,Sao Filipe,0,CV,1551765010,94,14.9,-24.5,70.7,15.26
166,Anantnag,8,IN,1551765010,71,33.74,75.15,40.06,1.83
167,Broken Hill,40,AU,1551762000,15,-31.97,141.45,96.8,19.46
168,Siderno,20,IT,1551765005,81,38.28,16.3,60.8,4.7
169,Trincomalee,12,LK,1551765011,67,8.58,81.23,90.41,1.72
170,Half Moon Bay,75,US,1551764968,93,37.46,-122.43,52.0,3.36
171,Harper,90,US,1551764816,54,30.3,-99.24,30.99,6.93
172,Veraval,75,FR,1551765003,81,49.65,0.71,45.0,17.22
173,Tiksi,12,RU,1551764861,61,71.64,128.87,0.68,10.56
174,Nantucket,1,US,1551764800,41,41.28,-70.1,28.4,14.99
175,Isangel,75,VU,1551762000,79,-19.55,169.27,86.0,3.36
176,Uyskoye,0,RU,1551765013,81,54.37,60.01,13.78,5.97
177,Buchanan,75,LR,1551762000,94,5.88,-10.05,75.2,5.97
178,Luganville,44,VU,1551765014,99,-15.51,167.18,82.63,5.75
179,Nikolskoye,75,RU,1551764903,92,59.7,30.79,28.4,8.95
180,Loa Janan,8,ID,1551765014,76,-0.58,117.09,87.53,3.4
181,Bethel,90,US,1551762840,93,60.79,-161.76,37.4,10.29
182,Banes,40,CU,1551761400,83,20.96,-75.72,73.4,2.24
183,Leningradskiy,36,RU,1551765015,98,69.38,178.42,10.63,6.64
184,Eenhana,0,NA,1551762000,60,-17.48,16.34,69.8,13.24
185,Ribeira Grande,44,PT,1551765016,98,38.52,-28.7,59.86,40.65
186,Katsuura,75,JP,1551763482,24,33.93,134.5,57.99,11.41
187,Okha,0,RU,1551765017,91,53.59,142.95,10.94,17.05
188,Obo,32,CF,1551765017,82,5.39,26.49,72.95,3.85
189,Gaoua,0,BF,1551765017,35,10.33,-3.18,66.61,5.64
190,Quatre Cocos,40,MU,1551764945,70,-20.21,57.76,84.99,8.05
191,Baykit,36,RU,1551765018,85,61.68,96.39,26.96,9.66
192,Viedma,0,AR,1551765018,79,-40.81,-62.99,49.46,2.62
193,Kindersley,90,CA,1551762000,66,51.47,-109.16,10.4,20.8
194,Montepuez,80,MZ,1551765019,99,-13.13,39.0,75.83,8.43
195,Santa Ines,75,EC,1551764721,93,-0.82,-78.63,51.8,2.24
196,Te Anau,44,NZ,1551765020,61,-45.41,167.72,68.18,13.02
197,Governador Valadares,36,BR,1551765020,90,-18.85,-41.95,70.7,2.73
198,Jieshi,92,CN,1551765020,100,22.82,115.83,68.59,8.77
199,Roesti,0,RO,1551764726,60,44.92,24.08,43.0,6.93
200,Ambilobe,0,MG,1551764863,100,-13.19,49.05,80.06,4.41
201,Alofi,92,NU,1551762000,74,-19.06,-169.92,80.6,12.75
202,Muros,75,ES,1551764914,93,42.77,-9.06,54.0,11.41
203,Viborg,88,DK,1551765004,87,56.45,9.41,42.8,16.11
204,Salamiyah,92,SY,1551764974,98,35.01,37.05,46.04,4.29
205,Arawa,48,NG,1551765022,95,7.05,3.9,73.36,2.51
206,Pangai,36,TO,1551765023,99,-19.8,-174.35,80.56,20.29
207,Portlethen,8,GB,1551764973,86,57.05,-2.13,30.2,1.12
208,Mandali,0,IQ,1551765023,51,33.75,45.55,55.67,5.97
209,The Valley,40,AI,1551764741,78,18.22,-63.06,77.0,12.75
210,Snyder,1,US,1551765003,53,32.72,-100.92,23.0,5.82
211,Zeya,0,RU,1551765024,42,53.74,127.27,22.06,6.87
212,Bambous Virieux,40,MU,1551764945,70,-20.34,57.76,84.99,8.05
213,Vestmannaeyjar,76,IS,1551765025,100,63.44,-20.27,29.89,5.64
214,Lorengau,68,PG,1551765025,100,-2.02,147.27,79.34,6.64
215,Launceston,80,AU,1551764759,60,-41.43,147.14,68.0,25.28
216,Nueva Loja,24,EC,1551765026,94,0.08,-76.88,74.03,2.17
217,Wanaka,0,NZ,1551765026,51,-44.7,169.14,69.94,3.96
218,Phonhong,0,LA,1551762000,49,18.5,102.42,89.6,2.24
219,Okakarara,32,NA,1551765027,37,-20.59,17.46,71.74,4.18
220,Stephenville Crossing,90,CA,1551762000,74,48.5,-58.44,28.4,18.34
221,Hrebinka,24,UA,1551765027,91,50.12,32.43,36.19,14.36
222,Mogzon,0,RU,1551765028,40,51.74,111.97,27.64,3.96
223,Berlevag,40,NO,1551761400,78,70.86,29.09,14.0,11.41
224,Turukhansk,88,RU,1551765002,91,65.8,87.96,26.33,9.22
225,Gazojak,20,TM,1551765028,77,41.19,61.4,42.35,7.99
226,Kitaibaraki,20,JP,1551764910,37,36.84,140.74,64.0,12.75
227,Padang,64,ID,1551765029,100,-0.92,100.36,83.98,13.8
228,Ola,8,RU,1551765030,100,59.58,151.3,10.49,5.41
229,Dingle,32,PH,1551765030,60,11.0,122.67,85.64,14.7
230,Diapaga,0,BF,1551765030,23,12.07,1.79,70.07,9.1
231,Deder,0,ET,1551765030,57,9.31,41.44,73.58,3.74
232,Omboue,68,GA,1551765031,100,-1.57,9.26,81.05,10.11
233,Kununurra,8,AU,1551762000,35,-15.77,128.74,98.6,4.7
234,Himmaste,36,EE,1551764594,86,58.09,27.09,39.2,13.87
235,Alagoinhas,80,BR,1551765032,97,-12.13,-38.42,74.12,3.51
236,Ofunato,20,JP,1551762000,29,39.11,141.75,51.8,4.7
237,Singkang,75,MY,1551762000,59,2.1,102.8,91.4,3.36
238,Ipixuna,75,BR,1551762000,100,-1.76,-48.8,73.4,11.41
239,Bijie,44,CN,1551765033,80,27.3,105.3,51.44,5.19
240,Ozinki,36,RU,1551765033,93,51.2,49.73,30.16,7.65
241,Tandil,0,AR,1551764674,54,-37.33,-59.14,64.99,9.66
242,Lundazi,12,ZM,1551765034,65,-12.29,33.17,75.34,6.53
243,Catuday,0,PH,1551765034,68,16.29,119.81,87.35,5.86
244,Saint George,0,GR,1551764599,86,39.45,22.34,44.01,3.96
245,Tromso,90,NO,1551764606,72,69.65,18.96,15.8,21.92
246,Excelsior Springs,1,US,1551765300,56,39.34,-94.23,12.2,6.93
247,Ostersund,0,SE,1551763200,84,63.18,14.64,5.0,2.24
248,Port-Gentil,40,GA,1551762000,88,-0.72,8.78,80.6,4.7
249,Ilinskiy,90,RU,1551764420,93,55.62,38.12,37.4,11.18
250,Maniitsoq,48,GL,1551765036,69,65.42,-52.9,11.48,5.86
251,Kandrian,76,PG,1551765036,96,-6.21,149.55,78.71,2.51
252,Miranda,75,CO,1551762000,78,3.25,-76.23,73.4,9.17
253,Kungsbacka,90,SE,1551764986,96,57.49,12.08,35.01,10.29
254,Zyryanka,76,RU,1551765038,54,65.73,150.89,-0.13,6.42
255,Constitucion,0,MX,1551765038,46,23.99,-104.67,54.28,6.64
256,Oistins,92,BB,1551764765,99,13.07,-59.53,77.72,20.29
257,Matara,8,PE,1551765039,97,-13.74,-72.9,37.09,1.28
258,Pangnirtung,64,CA,1551764933,60,66.15,-65.72,-7.42,3.62
259,Dong Hoi,12,VN,1551765039,86,17.48,106.6,80.42,7.65
260,Abu Dhabi,0,AE,1551763920,49,24.47,54.37,69.8,11.41
261,Shieli,12,KZ,1551765040,88,44.18,66.74,37.67,4.41
262,Grindavik,40,IS,1551764356,79,63.84,-22.43,28.99,5.82
263,Mana,0,RS,1551762000,46,43.52,20.24,53.6,9.17
264,Alice Springs,0,AU,1551762000,15,-23.7,133.88,96.8,9.17
265,Soanierana Ivongo,76,MG,1551765041,100,-16.92,49.59,80.29,2.95
266,Malinovoye Ozero,0,RU,1551765041,87,51.68,79.77,25.25,10.33
267,Lavrentiya,44,RU,1551765041,86,65.58,-170.99,23.68,5.86
268,Trelew,0,AR,1551764931,35,-43.25,-65.31,57.83,12.91
269,Namatanai,36,PG,1551765042,93,-3.66,152.44,85.28,5.64
270,Nova Borova,76,UA,1551765042,85,50.69,28.64,40.55,15.82
271,Hit,0,IQ,1551765042,70,33.64,42.83,53.6,4.74
272,Sharjah,20,AE,1551762000,55,25.36,55.39,69.8,8.05
273,Torbay,92,CA,1551765028,97,47.66,-52.73,30.99,3.0
274,Otavi,88,NA,1551765043,30,-19.64,17.34,75.2,7.43
275,Lompoc,90,US,1551764881,81,34.64,-120.46,55.0,2.62
276,Klaksvik,80,FO,1551763200,64,62.23,-6.59,39.2,11.41
277,Bacolod,56,PH,1551764952,66,10.68,122.95,83.12,11.12
278,Kurganinsk,80,RU,1551765044,74,44.89,40.59,35.06,8.55
279,Brae,44,GB,1551763200,69,60.4,-1.35,41.0,14.99
280,Nanlong,92,CN,1551765045,96,31.35,106.05,55.09,8.55
281,Eureka,1,US,1551764950,87,40.8,-124.16,44.01,4.7
282,Codrington,80,AU,1551763850,43,-28.95,153.24,87.8,12.75
283,Fortuna,0,ES,1551765022,62,38.18,-1.13,59.0,6.93
284,Mollendo,20,PE,1551765046,88,-17.03,-72.02,58.82,2.62
285,Yulara,0,AU,1551762000,9,-25.24,130.99,102.2,11.41
286,Zharkovskiy,92,RU,1551765047,93,55.85,32.27,39.11,15.59
287,Kaitangata,8,NZ,1551765001,85,-46.28,169.85,64.99,1.99
288,Iraan,1,US,1551765013,62,30.91,-101.9,26.01,3.36
289,Yalvac,68,TR,1551761400,100,38.3,31.18,28.4,2.84
290,Smithers,1,CA,1551762000,65,54.78,-127.17,8.6,2.24
291,Kruisfontein,0,ZA,1551764900,85,-34.0,24.73,62.56,3.96
292,Nanortalik,0,GL,1551764889,98,60.14,-45.24,24.8,8.55
293,Smirnykh,0,RU,1551765049,59,49.74,142.83,19.99,13.02
294,Lasem,20,ID,1551763800,59,-6.99,112.52,89.6,8.05
295,Arraial do Cabo,8,BR,1551765050,92,-22.97,-42.02,79.16,11.01
296,Caramay,0,PH,1551765050,87,10.18,119.24,83.08,13.47
297,Khandyga,0,RU,1551764891,55,62.65,135.58,-5.71,3.29
298,Huarmey,12,PE,1551765050,86,-10.07,-78.15,65.84,2.39
299,Iqaluit,40,CA,1551764568,76,63.75,-68.52,-9.01,1.39
300,Karratha,0,AU,1551764914,24,-20.74,116.85,103.28,12.01
301,Sept-Iles,90,CA,1551764732,85,50.2,-66.38,19.99,3.36
302,Souillac,20,FR,1551765036,93,45.6,-0.6,46.0,12.75
303,Flin Flon,68,CA,1551764846,64,54.77,-101.88,10.49,6.31
304,Calabozo,0,VE,1551765052,61,8.92,-67.43,79.39,13.91
305,Kalmunai,24,LK,1551765056,82,7.42,81.82,86.36,3.74
306,Mitu,8,IR,1551765056,87,36.2,46.09,32.72,2.73
307,Yerbogachen,48,RU,1551765056,71,61.28,108.01,24.17,4.97
308,Capoterra,0,IT,1551764714,93,39.18,8.97,55.4,8.05
309,Ostrovnoy,0,RU,1551765057,66,68.05,39.51,-1.66,14.14
310,North Bend,1,US,1551765017,86,43.41,-124.22,37.4,4.7
311,Manjacaze,68,MZ,1551765058,77,-24.71,33.88,82.67,6.42
312,Kungurtug,0,RU,1551765058,56,50.6,97.53,35.69,3.4
313,Bundaberg,40,AU,1551765003,58,-24.87,152.35,86.0,17.22
314,Muroto,0,JP,1551762000,99,33.37,134.14,59.0,9.17
315,Puksoozero,88,RU,1551765059,88,62.59,40.61,10.81,9.44
316,Ukiah,75,US,1551764908,81,39.15,-123.21,48.2,2.17
317,Pacific Grove,1,US,1551765015,76,36.62,-121.92,53.6,4.7
318,Jackville,0,CI,1551762000,88,5.21,-4.42,82.4,4.7
319,Zhicheng,8,CN,1551765060,71,35.04,112.59,62.11,3.18
320,Khipro,0,PK,1551765060,89,25.83,69.38,70.43,4.63
321,Yumen,24,CN,1551765060,65,40.29,97.04,40.24,5.86
322,Sfantu Gheorghe,0,RO,1551765035,69,44.65,26.83,42.01,9.17
323,Juneau,20,US,1551761760,62,58.3,-134.42,23.0,2.73
324,Zeerust,0,ZA,1551763440,57,-25.54,26.07,75.2,5.82
325,Poum,20,MK,1551765062,79,41.28,20.71,20.48,1.83
326,Port Lincoln,64,AU,1551765062,89,-34.72,135.86,69.26,16.49
327,Palauig,0,PH,1551765062,60,15.44,119.9,87.04,3.18
328,Kiunga,24,PG,1551765063,67,-6.12,141.3,89.06,4.18
329,Abong Mbang,80,CM,1551765063,97,3.98,13.18,68.63,2.84
330,Airai,48,TL,1551764799,87,-8.93,125.41,77.59,1.28
331,Ancud,75,CL,1551762000,93,-41.87,-73.83,50.0,6.93
332,Trapani,0,IT,1551765064,42,38.02,12.54,62.6,19.46
333,Caravelas,48,BR,1551765065,100,-17.73,-39.27,80.96,4.52
334,Dawei,0,MM,1551765065,45,14.07,98.19,87.98,3.06
335,Dordrecht,75,NL,1551765063,75,51.8,4.68,44.01,16.11
336,Handan,0,CN,1551765066,39,36.58,114.48,66.29,13.35
337,Linhai,100,CN,1551765036,90,28.86,121.14,52.0,2.73
338,Jiangyou,92,CN,1551765066,58,31.78,104.73,56.66,9.44
339,Mount Isa,40,AU,1551762000,23,-20.73,139.49,95.0,8.05
340,Clarence Town,0,AU,1551765026,45,-32.59,151.78,99.0,16.11
341,Lethem,0,GY,1551765067,64,3.38,-59.8,78.98,13.91
342,Zyryanovsk,64,KZ,1551765067,78,49.74,84.27,36.86,2.84
343,Polyarnyy,0,RU,1551762000,71,69.2,33.45,8.6,8.95
344,Salta,75,AR,1551762000,88,-24.79,-65.41,68.0,2.28
345,Camacha,40,PT,1551762000,87,33.08,-16.33,60.8,4.7
346,Dzidzantun,0,MX,1551765068,62,21.25,-89.05,79.25,6.76
347,Marystown,12,CA,1551764954,100,47.17,-55.16,37.99,23.64
348,Makakilo City,90,US,1551764964,56,21.35,-158.09,71.6,6.93
349,Ucluelet,76,CA,1551764791,81,48.94,-125.55,32.0,1.95
350,Saint-Pierre,75,FR,1551764877,93,48.95,4.24,42.8,18.34
351,Tual,56,ID,1551765070,100,-5.67,132.75,82.99,7.54
352,Bintulu,75,MY,1551762000,83,3.17,113.03,82.4,3.36
353,Nabire,68,ID,1551765071,85,-3.36,135.5,76.91,2.17
354,Srednekolymsk,88,RU,1551765071,57,67.46,153.71,-6.16,4.18
355,Yeppoon,90,AU,1551762000,48,-23.13,150.74,87.8,14.99
356,Strezhevoy,75,RU,1551762000,85,60.73,77.6,17.6,13.42
357,Marsh Harbour,24,BS,1551764882,99,26.54,-77.06,76.37,10.0
358,Madimba,40,CM,1551762000,88,4.42,9.93,77.0,3.36
359,Asyut,0,EG,1551762000,66,27.18,31.19,48.2,9.17
360,Dwarka,0,IN,1551764708,82,28.58,77.04,70.0,8.05
361,Miraflores,36,CO,1551765073,97,5.2,-73.14,46.31,0.49
362,Lensk,8,RU,1551765073,57,60.71,114.91,24.08,8.32
363,Barra dos Coqueiros,40,BR,1551762000,83,-10.91,-37.04,80.6,6.93
364,Xai-Xai,68,MZ,1551765074,90,-25.04,33.64,82.13,6.87
365,Presidencia Roque Saenz Pena,92,AR,1551765074,95,-26.79,-60.44,72.41,7.76
366,Marfino,90,RU,1551764420,100,56.07,37.56,37.4,11.18
367,Santa Isabel,68,CO,1551765075,98,4.71,-75.1,63.73,1.61
368,Makinsk,76,KZ,1551765076,92,52.63,70.42,22.82,17.83
369,Ciudad Bolivar,0,VE,1551765076,60,8.12,-63.55,78.58,15.14
370,Pinneberg,75,DE,1551765032,81,53.66,9.8,43.0,13.87
371,Empangeni,76,ZA,1551765077,92,-28.75,31.9,72.73,13.35
372,Bahia Blanca,0,AR,1551765077,74,-38.72,-62.27,60.53,11.12
